coef_SBS10c Status
X131365 0.231252262993248 Normal_trios
X12706.p1 0.243452761936538 Normal_trios
X13565.s1 0.276750819523331 Normal_trios
X74978 0.221249532660182 Normal_trios
X43119 0.178383197795149 Normal_trios
X135320 0.290243380545693 Normal_trios
X12646 0.202635445324798 Normal_trios
X11436.p1 0.199892302879375 Normal_trios
X40630 0.194315185678556 Normal_trios
X93984 0.205709195621076 Normal_trios
X12766.s1 0.221173912589565 Normal_trios
X14576.s1 0.213736511349445 Normal_trios
X59217 0.238835614249563 Normal_trios
X13195.s1 0.210700878863549 Normal_trios
X134978 0.323904319612452 Normal_trios
X14304.p1 0.241397902938874 Normal_trios
X11445.s1 0.220558263593855 Normal_trios
X14590.p1 0.273542542350401 Normal_trios
X13916.p1 0.191645032978965 Normal_trios
X13546.p1 0.300875989609333 Normal_trios
X13836.p1 0.226035838964816 Normal_trios
X14452.s1 0.216273520635361 Normal_trios
X25904 0.289348594594797 Normal_trios
X11312.p1 0.228811851769755 Normal_trios
X14336 0.20138172561954 Normal_trios
X21257 0.290775721034024 Normal_trios
X21693 0.261836833357838 Normal_trios
X11224.s1 0.271807280589734 Normal_trios
X11000.p1 0.29430189109572 Normal_trios
X74952 0.254090610798631 Normal_trios
X12976.s1 0.367602049836183 Normal_trios
X12578.s1 0.235673571598248 Normal_trios
X58119 0.191087046462797 Normal_trios
X13668.p1 0.290707706545131 Normal_trios
X13833.s1 0.168107422115505 Normal_trios
X11726.p1 0.38464184526381 Normal_trios
X112363 0.232630643871587 Normal_trios
X11404.p1 0.290193494686325 Normal_trios
X12810.p1 0.342414754454847 Normal_trios
X74063 0.203023868457818 Normal_trios
X36221 0.212285703245226 Normal_trios
X12860.s1 0.259903696007391 Normal_trios
X53468 0.309045168841708 Normal_trios
X12313.s1 0.236596310901646 Normal_trios
X47702 0.211656981229344 Normal_trios
X98572 0.296230771953795 Normal_trios
X14666.s1 0.200308902974233 Normal_trios
X12630.p1 0.246160800871517 Normal_trios
X11554.s1 0.334095976630867 Normal_trios
X14100.s1 0.219494532702024 Normal_trios
X12219.p1 0.282776796121934 Normal_trios
X12036.s1 0.219494882292161 Normal_trios
X135409 0.212631008466853 Normal_trios
X13548.s1 0.21858363993392 Normal_trios
X14560.s1 0.213901875127706 Normal_trios
X112590 0.245375965504172 Normal_trios
X13656 0.24034843141185 Normal_trios
X14602.s1 0.261097484508589 Normal_trios
X11132.s1 0.230785049180852 Normal_trios
X145082 0.23339744993515 Normal_trios
X14357.p1 0.364965793020772 Normal_trios
X11282.p1 0.175173451012687 Normal_trios
X151229 0.263442809791476 Normal_trios
X76118 0.242643686085557 Normal_trios
X150437 0.243700898338787 Normal_trios
X14369.s1 0.221477949981292 Normal_trios
X43702 0.231868479579319 Normal_trios
X11382.s1 0.3111750713516 Normal_trios
X62081 0.185208789710926 Normal_trios
X81163 0.307101849740722 Normal_trios
Proband.144 0.275664624292496 Normal_trios
X115961 0.343986834421282 Normal_trios
X66084 0.306502312576219 Normal_trios
X126166 0.379389047531129 Normal_trios
X11301.p1 0.28172902134339 Normal_trios
X11218.p1 0.24541139760459 Normal_trios
X31703 0.345334740154183 Normal_trios
X152702 0.329329577349507 Normal_trios
X75101 0.302717991848564 Normal_trios
X88886 0.283453539245655 Normal_trios
X59946 0.359812651302691 Normal_trios
X12871.s1 0.359990478085378 Normal_trios
X13988.p1 0.283282999453549 Normal_trios
X13981.s1 0.352695108852837 Normal_trios
X44092 0.210362694529128 Normal_trios
X15489 0.264189167558955 Normal_trios
X84161 0.217597272178584 Normal_trios
X33651 0.273540100084381 Normal_trios
X11730.s1 0.261198403035528 Normal_trios
X11064.s1 0.233282996748281 Normal_trios
X99424 0.320960291997407 Normal_trios
X49694 0.269907792126735 Normal_trios
X64895 0.238332000573607 Normal_trios
X63082 0.19880463265696 Normal_trios
X89456 0.166538097632208 Normal_trios
X14482.p1 0.242115562193963 Normal_trios
X13687.s1 0.207435341699878 Normal_trios
X13942.s1 0.236552611694092 Normal_trios
X13412.p1 0.241508400019051 Normal_trios
X11901.p1 0.331449226881903 Normal_trios
X130739 0.220270528512865 Normal_trios
X83922 0.240951844247452 Normal_trios
X12483.p1 0.259339129503111 Normal_trios
X11399.s1 0.356102110282952 Normal_trios
X14285.p1 0.266419960861148 Normal_trios
X146930 0.293211274318935 Normal_trios
X11092.p1 0.294375117409838 Normal_trios
X11657.s1 0.292932007865981 Normal_trios
X13528.s1 0.222113680706462 Normal_trios
X55513 0.263968907461179 Normal_trios
X8008 0.272992229227551 Normal_trios
X11526.s1 0.335894837668079 Normal_trios
X89828 0.16812377685844 Normal_trios
X132410 0.294000900344508 Normal_trios
X28722 0.168536826821886 Normal_trios
X13773.s1 0.433227411446338 Normal_trios
X11941.s1 0.297606265538014 Normal_trios
X81870 0.38010995846683 Normal_trios
X13415.p1 0.297577561672083 Normal_trios
X14111.p1 0.236781800850691 Normal_trios
X11324.s1 0.293454821879195 Normal_trios
X6669 0.371933965520379 Normal_trios
X13546.s1 0.349368975379912 Normal_trios
X14042.s1 0.312539212141434 Normal_trios
X99614 0.264984657193456 Normal_trios
X13227.p1 0.171981899463106 Normal_trios
X64960 0.317248437248342 Normal_trios
X92899 0.243967492584618 Normal_trios
X132683 0.22438431841394 Normal_trios
X6627 0.222985594098141 Normal_trios
X13520.s1 0.249680255969916 Normal_trios
X13915.p1 0.3254994293832 Normal_trios
X14432.p1 0.2686165066966 Normal_trios
X14230.s1 0.342896309169702 Normal_trios
X106297 0.225847163687892 Normal_trios
X120205 0.317444833474722 Normal_trios
X87004 0.281814731395349 Normal_trios
X64702 0.264291400125689 Normal_trios
X36080 0.209836558774632 Normal_trios
X12180.s1 0.242496270309069 Normal_trios
X11178.s1 0.30125842225301 Normal_trios
X74959 0.34687530112802 Normal_trios
X128909 0.292852327849847 Normal_trios
X14509.s1 0.221556856835266 Normal_trios
X12794.p1 0.233816307281646 Normal_trios
X80405 0.206687718904493 Normal_trios
X105780 0.202358270475982 Normal_trios
X11969.p1 0.31572120214803 Normal_trios
X84243 0.22586980949239 Normal_trios
X154692 0.2669159703219 Normal_trios
X2389 0.260945017410883 Normal_trios
X14086.p1 0.200885187236312 Normal_trios
X26568 0.4661351830598 Normal_trios
X22087.p1 0.311465909924636 Normal_trios
X12202.s1 0.314387784755556 Normal_trios
X13850.p1 0.223819997053352 Normal_trios
X44104 0.234477024554649 Normal_trios
X13980.p1 0.217530036124373 Normal_trios
X141502 0.330706113892794 Normal_trios
X14425.p1 0.191015219687323 Normal_trios
X84213 0.3250590857782 Normal_trios
X14404.p1 0.36145539955699 Normal_trios
X14415.p1 0.236845802512177 Normal_trios
X59844 0.387163412552247 Normal_trios
